id,score,overall_length,distinct_words_count,theme_gender_count,theme_gender_bool,theme_ethnicity_count,theme_ethnicity_bool,theme_sexuality_count,theme_sexuality_bool,theme_ability_count,theme_ability_bool,theme_age_count,theme_age_bool,theme_weight_count,theme_weight_bool,theme_appearance_count,theme_appearance_bool,theme_class_count,theme_class_bool,themes_found
2bb3n2,0.0,13,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bb35g,86.0,207,63,13,True,0,False,0,False,0,False,6,True,1,True,0,False,1,True,"[('gender', 13), ('age', 6), ('weight', 1), ('class', 1)]"
2bb130,3.0,186,55,7,True,0,False,3,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 7), ('sexuality', 3)]"
2bb0pq,2.0,73,24,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bazwc,4.0,405,119,11,True,0,False,2,True,0,False,0,False,0,False,1,True,2,True,"[('gender', 11), ('sexuality', 2), ('class', 2), ('appearance', 1)]"
2baz3f,28.0,106,34,5,True,0,False,0,False,0,False,0,False,0,False,5,True,5,True,"[('gender', 5), ('appearance', 5), ('class', 5)]"
2bayix,23.0,26,12,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2bay7h,1.0,10,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bay0k,0.0,24,15,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2baxk6,10.0,42,7,0,False,0,False,2,True,3,True,0,False,0,False,0,False,0,False,"[('ability', 3), ('sexuality', 2)]"
2baws6,65.0,13,4,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2baw1q,0.0,30,15,0,False,0,False,2,True,1,True,0,False,0,False,0,False,0,False,"[('sexuality', 2), ('ability', 1)]"
2baw19,65.0,57,23,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 1), ('sexuality', 1)]"
2bat1q,0.0,13,4,2,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 2)]"
2basnc,1.0,10,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bashv,0.0,13,8,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,"[('ethnicity', 1)]"
2baroi,0.0,29,12,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,"[('ability', 1), ('age', 1)]"
2bap7l,0.0,12,5,0,False,2,True,0,False,0,False,0,False,0,False,0,False,0,False,"[('ethnicity', 2)]"
2ban57,0.0,11,4,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2bamjm,3.0,28,12,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2bamfc,0.0,12,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2balew,1.0,27,12,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,"[('ability', 1)]"
2bakoe,0.0,31,11,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 1), ('sexuality', 1)]"
2bajio,2.0,103,35,12,True,0,False,0,False,0,False,2,True,0,False,0,False,0,False,"[('gender', 12), ('age', 2)]"
2bajdv,3.0,15,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2baikb,0.0,13,8,0,False,2,True,0,False,0,False,0,False,0,False,0,False,0,False,"[('ethnicity', 2)]"
2bai7u,3.0,11,4,0,False,0,False,1,True,1,True,0,False,0,False,0,False,0,False,"[('sexuality', 1), ('ability', 1)]"
2bagfu,0.0,16,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2baez6,27.0,21,9,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2baeon,2.0,21,9,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bad1q,1.0,27,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2babwx,15.0,13,3,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2babkz,3.0,97,32,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2bab83,2.0,267,106,1,True,1,True,2,True,0,False,1,True,0,False,0,False,0,False,"[('sexuality', 2), ('gender', 1), ('ethnicity', 1), ('age', 1)]"
2baa2m,1923.0,18,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2ba8x6,57.0,433,140,0,False,1,True,1,True,1,True,2,True,0,False,0,False,1,True,"[('age', 2), ('ethnicity', 1), ('sexuality', 1), ('ability', 1), ('class', 1)]"
2ba8nl,1.0,50,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2ba7cz,131.0,20,9,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,"[('gender', 1), ('class', 1)]"
2ba500,0.0,15,7,0,False,2,True,0,False,0,False,0,False,0,False,0,False,0,False,"[('ethnicity', 2)]"
2ba4bm,0.0,70,25,2,True,0,False,2,True,0,False,0,False,0,False,1,True,0,False,"[('gender', 2), ('sexuality', 2), ('appearance', 1)]"
2ba0c6,31.0,11,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,"[('class', 1)]"
2b9w1x,5.0,248,83,12,True,0,False,7,True,0,False,10,True,0,False,0,False,1,True,"[('gender', 12), ('age', 10), ('sexuality', 7), ('class', 1)]"
2b9vxx,0.0,37,18,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2b9ubx,3.0,16,7,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2b9tnc,117.0,18,11,1,True,0,False,0,False,0,False,0,False,0,False,1,True,0,False,"[('gender', 1), ('appearance', 1)]"
2b9slc,58.0,36,19,3,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 3), ('sexuality', 1)]"
2b9r8f,0.0,48,21,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,"[('sexuality', 1), ('age', 1)]"
2b9oel,12.0,52,37,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2b9ift,2.0,23,10,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2b9dcz,0.0,234,46,1,True,0,False,13,True,0,False,0,False,1,True,1,True,1,True,"[('sexuality', 13), ('gender', 1), ('weight', 1), ('appearance', 1), ('class', 1)]"
2b9d1b,0.0,8,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2b9cvh,2.0,11,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2b9b7a,22.0,107,30,13,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 13), ('sexuality', 1)]"
2b99v8,0.0,82,32,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2b983k,1.0,15,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2b90f7,17.0,30,12,1,True,0,False,2,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 2), ('gender', 1)]"
2b8yzx,80.0,22,10,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2b8vpd,15.0,102,36,2,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,"[('gender', 2), ('ability', 1)]"
2b8v40,4.0,207,48,17,True,0,False,5,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 17), ('sexuality', 5)]"
2b8th5,8.0,19,8,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,"[('age', 1)]"
2b8pr3,13.0,212,56,0,False,0,False,3,True,0,False,2,True,0,False,0,False,2,True,"[('sexuality', 3), ('age', 2), ('class', 2)]"
2b8opl,64.0,80,33,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,"[('appearance', 1)]"
2b8o0e,2.0,19,9,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 1), ('sexuality', 1)]"
2b8ntb,264.0,153,44,4,True,1,True,1,True,0,False,0,False,0,False,0,False,1,True,"[('gender', 4), ('ethnicity', 1), ('sexuality', 1), ('class', 1)]"
